  
       XFOIL         Version 6.99
  
 Calculated polar for: n2415                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
   8.800   1.1668   0.01293   0.00327  -0.0399   0.1114   1.0000  54.0279 160.0000
   8.900   1.1755   0.01306   0.00333  -0.0395   0.1083   1.0000  54.2996 160.0000
   9.000   1.1835   0.01322   0.00340  -0.0390   0.1047   1.0000  54.6175 160.0000
   9.100   1.1910   0.01341   0.00348  -0.0384   0.1008   1.0000  54.9577 160.0000
   9.200   1.1995   0.01355   0.00354  -0.0380   0.0981   1.0000  55.2120 160.0000
   9.300   1.2076   0.01371   0.00361  -0.0375   0.0951   1.0000  55.4991 160.0000
   9.400   1.2151   0.01390   0.00369  -0.0369   0.0919   1.0000  55.7989 160.0000
   9.500   1.2228   0.01407   0.00377  -0.0364   0.0891   1.0000  56.0710 160.0000
   9.600   1.2310   0.01421   0.00383  -0.0359   0.0868   1.0000  56.3116 160.0000
   9.700   1.2384   0.01438   0.00390  -0.0353   0.0842   1.0000  56.5823 160.0000
   9.800   1.2449   0.01458   0.00399  -0.0346   0.0815   1.0000  56.8622 160.0000
   9.900   1.2520   0.01474   0.00406  -0.0339   0.0793   1.0000  57.1009 160.0000
  10.000   1.2593   0.01489   0.00412  -0.0333   0.0773   1.0000  57.3302 160.0000
  10.100   1.2659   0.01507   0.00420  -0.0326   0.0751   1.0000  57.5796 160.0000
  10.200   1.2720   0.01528   0.00429  -0.0318   0.0728   1.0000  57.8362 160.0000
  10.300   1.2788   0.01547   0.00437  -0.0311   0.0709   1.0000  58.0670 160.0000
  10.400   1.2860   0.01563   0.00444  -0.0305   0.0693   1.0000  58.2687 160.0000
  10.500   1.2928   0.01581   0.00453  -0.0298   0.0675   1.0000  58.4935 160.0000
  10.600   1.2991   0.01603   0.00463  -0.0291   0.0657   1.0000  58.7229 160.0000
  10.700   1.3051   0.01627   0.00474  -0.0283   0.0637   1.0000  58.9676 160.0000
  10.800   1.3123   0.01644   0.00482  -0.0278   0.0625   1.0000  59.1346 160.0000
  10.900   1.3193   0.01663   0.00490  -0.0272   0.0612   1.0000  59.3235 160.0000
  11.000   1.3259   0.01684   0.00500  -0.0266   0.0598   1.0000  59.5186 160.0000
  11.100   1.3321   0.01708   0.00511  -0.0259   0.0584   1.0000  59.7163 160.0000
  11.200   1.3378   0.01734   0.00524  -0.0251   0.0569   1.0000  59.9278 160.0000
  11.300   1.3444   0.01755   0.00534  -0.0245   0.0558   1.0000  60.0878 160.0000
  11.400   1.3514   0.01775   0.00544  -0.0240   0.0548   1.0000  60.2475 160.0000
  11.500   1.3579   0.01797   0.00555  -0.0234   0.0536   1.0000  60.4227 160.0000
  11.600   1.3639   0.01823   0.00567  -0.0228   0.0525   1.0000  60.5997 160.0000
  11.700   1.3695   0.01851   0.00581  -0.0221   0.0513   1.0000  60.7784 160.0000
  11.800   1.3746   0.01883   0.00597  -0.0213   0.0501   1.0000  60.9708 160.0000
  11.900   1.3812   0.01905   0.00608  -0.0208   0.0494   1.0000  61.0983 160.0000
  12.000   1.3878   0.01929   0.00620  -0.0203   0.0486   1.0000  61.2346 160.0000
  12.100   1.3939   0.01955   0.00633  -0.0197   0.0477   1.0000  61.3795 160.0000
  12.200   1.3996   0.01983   0.00647  -0.0191   0.0469   1.0000  61.5255 160.0000
  12.300   1.4051   0.02014   0.00663  -0.0185   0.0460   1.0000  61.6699 160.0000
  12.400   1.4099   0.02049   0.00682  -0.0178   0.0452   1.0000  61.8174 160.0000
  12.500   1.4141   0.02088   0.00703  -0.0170   0.0443   1.0000  61.9761 160.0000
  12.600   1.4203   0.02115   0.00717  -0.0165   0.0437   1.0000  62.0786 160.0000
  12.700   1.4264   0.02143   0.00732  -0.0160   0.0432   1.0000  62.1867 160.0000
  12.800   1.4321   0.02174   0.00748  -0.0155   0.0425   1.0000  62.3070 160.0000
  12.900   1.4375   0.02208   0.00766  -0.0149   0.0419   1.0000  62.4312 160.0000
  13.000   1.4425   0.02244   0.00786  -0.0144   0.0412   1.0000  62.5548 160.0000
  13.100   1.4471   0.02283   0.00808  -0.0138   0.0406   1.0000  62.6761 160.0000
  13.200   1.4513   0.02326   0.00832  -0.0132   0.0400   1.0000  62.8008 160.0000
  13.300   1.4546   0.02375   0.00860  -0.0125   0.0392   1.0000  62.9361 160.0000
  13.400   1.4590   0.02418   0.00884  -0.0120   0.0387   1.0000  63.0416 160.0000
  13.500   1.4647   0.02452   0.00903  -0.0115   0.0383   1.0000  63.1303 160.0000
  13.600   1.4701   0.02489   0.00924  -0.0111   0.0378   1.0000  63.2298 160.0000
  13.700   1.4749   0.02530   0.00947  -0.0106   0.0373   1.0000  63.3352 160.0000
  13.800   1.4795   0.02573   0.00972  -0.0102   0.0368   1.0000  63.4416 160.0000
  13.900   1.4837   0.02620   0.00999  -0.0097   0.0363   1.0000  63.5451 160.0000
  14.000   1.4875   0.02670   0.01029  -0.0092   0.0359   1.0000  63.6438 160.0000
  14.100   1.4909   0.02724   0.01061  -0.0087   0.0354   1.0000  63.7412 160.0000
  14.200   1.4936   0.02784   0.01097  -0.0082   0.0349   1.0000  63.8416 160.0000
  14.300   1.4956   0.02852   0.01139  -0.0076   0.0344   1.0000  63.9490 160.0000
  14.400   1.4987   0.02911   0.01175  -0.0072   0.0341   1.0000  64.0307 160.0000
  14.500   1.5033   0.02960   0.01205  -0.0068   0.0338   1.0000  64.0975 160.0000
  14.600   1.5075   0.03012   0.01236  -0.0065   0.0335   1.0000  64.1722 160.0000
  14.700   1.5115   0.03066   0.01269  -0.0062   0.0331   1.0000  64.2512 160.0000
  14.800   1.5151   0.03124   0.01305  -0.0058   0.0328   1.0000  64.3316 160.0000
  14.900   1.5184   0.03185   0.01343  -0.0055   0.0324   1.0000  64.4140 160.0000
  15.000   1.5213   0.03251   0.01384  -0.0051   0.0321   1.0000  64.4943 160.0000
  15.100   1.5239   0.03319   0.01428  -0.0048   0.0318   1.0000  64.5729 160.0000
  15.200   1.5263   0.03392   0.01474  -0.0045   0.0314   1.0000  64.6500 160.0000
  15.300   1.5280   0.03471   0.01525  -0.0042   0.0311   1.0000  64.7256 160.0000
  15.400   1.5293   0.03554   0.01580  -0.0039   0.0308   1.0000  64.8034 160.0000
  15.500   1.5297   0.03649   0.01643  -0.0036   0.0304   1.0000  64.8834 160.0000
  15.600   1.5291   0.03753   0.01713  -0.0033   0.0301   1.0000  64.9676 160.0000
  15.700   1.5304   0.03841   0.01772  -0.0031   0.0298   1.0000  65.0271 160.0000
  15.800   1.5334   0.03913   0.01819  -0.0030   0.0296   1.0000  65.0794 160.0000
  15.900   1.5358   0.03991   0.01871  -0.0028   0.0294   1.0000  65.1373 160.0000
  16.000   1.5381   0.04073   0.01926  -0.0027   0.0292   1.0000  65.1998 160.0000
  16.100   1.5402   0.04157   0.01982  -0.0026   0.0289   1.0000  65.2655 160.0000
  16.200   1.5418   0.04247   0.02043  -0.0025   0.0287   1.0000  65.3311 160.0000
  16.300   1.5434   0.04338   0.02105  -0.0024   0.0284   1.0000  65.3977 160.0000
  16.400   1.5444   0.04436   0.02173  -0.0023   0.0281   1.0000  65.4633 160.0000
  16.500   1.5452   0.04538   0.02243  -0.0023   0.0279   1.0000  65.5277 160.0000
  16.600   1.5456   0.04645   0.02317  -0.0023   0.0277   1.0000  65.5903 160.0000
  16.700   1.5455   0.04758   0.02397  -0.0023   0.0274   1.0000  65.6507 160.0000
  16.800   1.5451   0.04876   0.02480  -0.0023   0.0272   1.0000  65.7105 160.0000
  16.900   1.5440   0.05004   0.02572  -0.0024   0.0270   1.0000  65.7692 160.0000
  17.000   1.5424   0.05139   0.02670  -0.0025   0.0267   1.0000  65.8294 160.0000
  17.100   1.5399   0.05287   0.02779  -0.0026   0.0265   1.0000  65.8897 160.0000
  17.200   1.5364   0.05447   0.02899  -0.0028   0.0263   1.0000  65.9507 160.0000
  17.300   1.5330   0.05608   0.03020  -0.0030   0.0261   1.0000  66.0055 160.0000
  17.400   1.5333   0.05725   0.03105  -0.0031   0.0260   1.0000  66.0400 160.0000
  17.500   1.5333   0.05847   0.03195  -0.0033   0.0258   1.0000  66.0777 160.0000
  17.600   1.5332   0.05971   0.03286  -0.0035   0.0257   1.0000  66.1189 160.0000
  17.700   1.5323   0.06107   0.03387  -0.0037   0.0255   1.0000  66.1611 160.0000
  17.800   1.5316   0.06239   0.03486  -0.0039   0.0254   1.0000  66.2060 160.0000
  17.900   1.5302   0.06383   0.03594  -0.0042   0.0252   1.0000  66.2500 160.0000
  18.000   1.5288   0.06526   0.03703  -0.0045   0.0251   1.0000  66.2947 160.0000
  18.100   1.5272   0.06674   0.03815  -0.0048   0.0249   1.0000  66.3391 160.0000
  18.200   1.5250   0.06829   0.03935  -0.0051   0.0248   1.0000  66.3818 160.0000
  18.300   1.5231   0.06979   0.04051  -0.0055   0.0246   1.0000  66.4251 160.0000
  18.400   1.5203   0.07145   0.04181  -0.0059   0.0245   1.0000  66.4656 160.0000
  18.500   1.5179   0.07306   0.04307  -0.0062   0.0243   1.0000  66.5072 160.0000
  18.600   1.5147   0.07479   0.04445  -0.0067   0.0242   1.0000  66.5461 160.0000
  18.700   1.5114   0.07654   0.04584  -0.0072   0.0240   1.0000  66.5850 160.0000
  18.800   1.5081   0.07831   0.04727  -0.0076   0.0239   1.0000  66.6229 160.0000
  18.900   1.5039   0.08021   0.04882  -0.0082   0.0238   1.0000  66.6586 160.0000
  19.000   1.5001   0.08203   0.05032  -0.0087   0.0237   1.0000  66.6954 160.0000
  19.100   1.4951   0.08407   0.05202  -0.0093   0.0235   1.0000  66.7285 160.0000
  19.200   1.4905   0.08603   0.05367  -0.0099   0.0234   1.0000  66.7647 160.0000
  19.300   1.4850   0.08817   0.05550  -0.0106   0.0233   1.0000  66.7979 160.0000
  19.400   1.4795   0.09031   0.05734  -0.0113   0.0232   1.0000  66.8334 160.0000
  19.500   1.4734   0.09255   0.05930  -0.0120   0.0231   1.0000  66.8683 160.0000
  19.600   1.4669   0.09487   0.06137  -0.0128   0.0229   1.0000  66.9038 160.0000
  19.700   1.4601   0.09723   0.06350  -0.0137   0.0228   1.0000  66.9402 160.0000
  19.800   1.4525   0.09972   0.06580  -0.0146   0.0227   1.0000  66.9752 160.0000
  19.900   1.4469   0.10191   0.06782  -0.0154   0.0226   1.0000  67.0073 160.0000
  20.000   1.4431   0.10388   0.06964  -0.0161   0.0225   1.0000  67.0275 160.0000
